date,positive,nagetive,neutral, ’≈Ã,ø™≈Ã,∏ﬂ,µÕ
2021-07-23,64.03786650300026,-26.427904546260834,-29.934279948472977,6.4808,6.4683,6.4829,6.467
2021-07-26,51.86812648177147,-13.015773041173816,-29.396262526512146,6.4825,6.479,6.4875,6.4785
2021-07-27,11.730608880519869,33.9602036178112,-31.577765941619873,6.5104,6.476,6.5132,6.4735
2021-07-28,35.49563939869404,13.905541345477104,-35.61829513311386,6.4905,6.5095,6.5101,6.4891
2021-07-29,17.993960738182068,19.71527530858293,-24.757368683815002,6.4562,6.4908,6.4908,6.4544
2021-07-30,58.26173621416092,-14.784209787845612,-35.034792602062225,6.4609,6.4645,6.4693,6.4506
2021-08-02,9.608888119459152,36.56903629982844,-28.802526712417603,6.462,6.4615,6.4693,6.458
2021-08-03,34.59063306450844,10.411748267710209,-31.2005355656147,6.47,6.4656,6.471,6.4604
2021-08-04,31.130047395825386,7.085100162774324,-25.65965187549591,6.4655,6.4662,6.4673,6.4555
2021-08-05,28.128118708729744,8.990253647789357,-25.700033962726593,6.4608,6.4671,6.4677,6.4595
2021-08-06,51.97222979366779,-16.339253708720207,-27.482031762599945,6.4825,6.466,6.4848,6.4622
2021-08-09,6.869281187653542,28.704774901270866,-22.338174253702164,6.4857,6.4835,6.4895,6.4731
2021-08-10,12.391255334019661,26.86296055652201,-27.03121316432953,6.4852,6.4826,6.4875,6.4774
2021-08-11,64.71189254522324,-21.63278605788946,-32.394930958747864,6.4783,6.4846,6.4894,6.4752
2021-08-12,72.70669960230589,-23.219639167189598,-38.19572934508324,6.4782,6.4767,6.4811,6.4719
2021-08-13,39.598298758268356,5.039237290620802,-32.64823141694069,6.4768,6.4778,6.4854,6.4749
2021-08-16,8.520807042717934,33.554149869829416,-27.719489097595215,6.4742,6.4774,6.481,6.4719
2021-08-17,38.2743024751544,13.602932415902615,-36.219568490982056,6.4854,6.4787,6.4889,6.4759
2021-08-18,35.10452361404896,7.109136851504443,-31.42992353439331,6.4841,6.4861,6.4872,6.4776
2021-08-19,27.845053866505623,12.80086487531662,-28.629809319972992,6.4942,6.4847,6.4997,6.484
2021-08-20,32.12277489900589,8.342909187078476,-28.226941376924515,6.5012,6.496,6.5057,6.4935
2021-08-23,20.07103729993105,15.122753396630287,-24.68480834364891,6.4805,6.4915,6.4973,6.4788
2021-08-24,36.055177971720695,-5.412012616172433,-24.96029219031334,6.471,6.479,6.4851,6.4676
2021-08-25,28.553924091160297,-0.8127714693546304,-21.882346719503403,6.4756,6.4714,6.4811,6.4707
2021-08-26,29.400399520993233,7.20252214372158,-25.455349415540695,6.4809,6.4725,6.4878,6.4725
2021-08-27,54.20213121920824,-18.265880916267633,-28.479871973395348,6.4711,6.4815,6.4884,6.4717
2021-08-30,52.81564136594534,-19.497768133878708,-26.743046671152115,6.4658,6.466,6.4727,6.464
2021-08-31,57.27178971469402,-18.762385442852974,-31.24512180685997,6.4604,6.468,6.4728,6.455
2021-09-01,33.28708663582802,11.265435323119165,-32.516630709171295,6.4586,6.4618,6.4711,6.4584
2021-09-02,57.28472778201103,-8.599043555557728,-34.68233144283295,6.4558,6.46,6.4649,6.4536
2021-09-03,48.23461040854454,1.852464959025383,-37.0388058423996,6.4528,6.4553,6.4613,6.4333
2021-09-06,43.57385677099228,-7.409198177978395,-26.821895956993103,6.4542,6.454,6.4615,6.4506
2021-09-07,41.631922245025635,7.951940298080443,-37.206514686346054,6.4662,6.455,6.4689,6.4525
2021-09-08,34.19094890356064,15.743657456710935,-33.81109896302223,6.4612,6.4644,6.4669,6.4559
2021-09-09,38.61951354146004,8.255976881831884,-33.2278835773468,6.4514,6.462,6.4653,6.4513
2021-09-10,25.273820355534554,15.144662007689476,-29.359992563724518,6.444,6.457,6.4577,6.4348
2021-09-13,12.067606531083584,24.336177572607994,-23.512816905975342,6.4511,6.4443,6.4592,6.4443
2021-09-14,56.73426674306393,-9.980331771075726,-35.528520196676254,6.4382,6.4482,6.4529,6.4367
2021-09-15,37.581599712371826,2.379365699365735,-28.942167788743973,6.432,6.4434,6.4462,6.4296
2021-09-16,20.908854603767395,26.21467623487115,-31.090431958436966,6.4566,6.4336,6.4602,6.4299
2021-09-17,41.37306064367294,-2.132378041744232,-29.149016171693802,6.4655,6.4547,6.4707,6.4464
2021-09-20,7.598221272230148,28.035749968141317,-24.84330850839615,6.4662,6.4662,6.4662,6.4662
2021-09-21,0.5012529417872421,31.41407184302807,-20.1662480533123,6.4662,6.4662,6.4662,6.4662
2021-09-22,42.206907749176025,-0.880166403949262,-32.22544425725937,6.4583,6.4662,6.4745,6.4596
2021-09-23,19.5218475908041,15.07300716638565,-25.338926643133163,6.459,6.4703,6.4711,6.4513
2021-09-24,26.847487464547157,6.847493249922991,-25.255493342876434,6.466,6.4602,6.4714,6.4563
2021-09-27,39.11955724656582,-5.3114388808608055,-23.806430503726006,6.456,6.4559,6.4653,6.4536
2021-09-28,36.451214998960495,6.871813410893082,-32.197986125946045,6.4595,6.4597,6.4639,6.451
2021-09-29,23.991371169686317,21.550239133182913,-33.30496355891228,6.4702,6.461,6.476,6.4604
2021-09-30,28.84574820101261,19.95433932542801,-33.49645206332207,6.4452,6.4711,6.4752,6.4431
2021-10-01,10.159072771668434,18.48628717660904,-19.09868350625038,6.4466,6.4466,6.4466,6.4466
2021-10-04,6.139701038599014,14.127755165100098,-13.767138123512268,6.4466,6.4466,6.4466,6.4466
2021-10-05,21.940483182668686,3.838800949975848,-18.883283227682114,6.4466,6.4466,6.4466,6.4466
2021-10-06,18.854958847165108,12.672212578356266,-25.66106277704239,6.4466,6.4466,6.4466,6.4466
2021-10-07,9.927846446633339,18.982777774333954,-20.863315254449844,6.4466,6.4466,6.4466,6.4466
2021-10-08,28.19686222076416,7.4208178371191025,-26.316592156887054,6.4435,6.4493,6.4529,6.4392
2021-10-11,27.56710310280323,12.641544986516239,-27.567261084914207,6.4501,6.4425,6.4507,6.4341
2021-10-12,27.092193827033043,19.43748144991696,-33.00758162140846,6.4485,6.459,6.4594,6.446
2021-10-13,44.580998092889786,2.001421008259057,-37.581759452819824,6.4262,6.4506,6.452,6.4253
2021-10-14,22.7256201505661,19.180967502761632,-28.856908172369003,6.438,6.4337,6.4417,6.4311
2021-10-15,31.2031409740448,2.9699330627918243,-25.07847425341606,6.434,6.4358,6.4415,6.4255
2021-10-18,32.6864805072546,5.2879254519939405,-27.801817893981934,6.429,6.4335,6.4405,6.4276
2021-10-19,19.767495453357697,14.312724822666496,-23.52616575360298,6.3822,6.4299,6.4299,6.3797
2021-10-20,10.705599181354048,32.839967641979456,-30.74994507431984,6.3936,6.3818,6.3979,6.3818
2021-10-21,19.91587160527706,19.11621330305934,-25.740805834531784,6.3925,6.394,6.4031,6.3872
2021-10-22,11.392492920160294,27.429267102852464,-26.373960316181183,6.3839,6.391,6.4019,6.3808
2021-10-25,31.52871986478567,2.499793861061337,-26.946622133255005,6.3856,6.3875,6.3929,6.3787
2021-10-26,41.17539019137621,-1.001023586839438,-31.920166224241257,6.382,6.3825,6.3874,6.3777
2021-10-27,34.23152957856655,10.989525634795427,-33.45718044042587,6.3915,6.381,6.3986,6.3805
2021-10-28,40.92785508930683,-1.7024751398712388,-27.993709474802017,6.3917,6.3976,6.405,6.3914
2021-10-29,31.431184381246567,0.17582668550312563,-23.403420835733414,6.405,6.3931,6.4094,6.3876
2021-11-01,21.728066086769104,14.280427688732743,-25.848000675439835,6.3972,6.406,6.4079,6.3941
2021-11-02,43.3949833214283,-11.368330802768469,-27.219485819339752,6.3995,6.3966,6.403,6.3941
2021-11-03,29.804355174303055,10.712561950087549,-29.943146735429764,6.4061,6.4009,6.4085,6.3924
2021-11-04,4.5056464076042175,26.983927309513092,-21.57540401816368,6.397,6.396,6.4013,6.3899
2021-11-05,51.14950303733349,-19.197990134358406,-24.782823503017426,6.398,6.3966,6.4061,6.3966
2021-11-08,25.00471444427967,-9.374857898335904,-13.30390664935112,6.3902,6.3967,6.4008,6.3914
2021-11-09,37.434023439884186,-3.073078328743578,-25.45052245259285,6.3916,6.3924,6.3986,6.3873
2021-11-10,27.298052325844765,10.050134527496994,-27.737913876771927,6.3882,6.3928,6.3965,6.3823
2021-11-11,45.51042750477791,2.7083207368850726,-35.841246634721756,6.3898,6.3889,6.4098,6.3882
2021-11-12,52.667590126395226,-20.628789618611336,-27.2767014503479,6.3787,6.3962,6.3989,6.3781
2021-11-15,21.61301475763321,18.167124535888433,-28.973874807357788,6.3824,6.3808,6.3868,6.3768
2021-11-16,21.283308148384094,22.191022336483,-29.60337659716606,6.3919,6.3819,6.398,6.3664
2021-11-17,45.60889455676079,-5.266054672654718,-29.80153638124466,6.3775,6.3888,6.3945,6.3741
2021-11-18,28.646663144230843,9.597999023273587,-28.43316087126732,6.3851,6.378,6.3896,6.3733
2021-11-19,32.594133257865906,19.574233144521713,-36.980647176504135,6.3863,6.3837,6.3925,6.3791
2021-11-22,17.693523794412613,20.9191662222147,-26.272215336561203,6.3842,6.3907,6.391,6.3746
2021-11-23,18.82880836725235,15.620247858110815,-25.001313418149948,6.391,6.3854,6.3948,6.3812
2021-11-24,15.773038677871227,20.544692292809486,-25.000659987330437,6.3917,6.3896,6.3945,6.3838
2021-11-25,19.473485611379147,13.79782136157155,-21.070483416318893,6.386,6.3914,6.392,6.3838
2021-11-26,29.738920897245407,9.208128780126572,-28.497405886650085,6.3924,6.3861,6.395,6.3854
2021-11-29,-6.047027990221977,44.30381152033806,-23.6129390001297,6.3875,6.3885,6.3903,6.3779
2021-11-30,-0.17462047934532032,30.64552951604128,-19.45932909846306,6.364,6.379,6.3795,6.3625
2021-12-01,-6.395062804222107,49.35342017188668,-26.56370159983635,6.3673,6.3681,6.3738,6.3596
2021-12-02,22.24644209444523,18.981501311063766,-28.33894169330597,6.3763,6.371,6.3808,6.3663
2021-12-03,0.7598487436771393,23.13611513376236,-14.729063421487808,6.3758,6.3771,6.3773,6.3666
2021-12-06,23.02317464351654,0.33891694247722626,-17.47963684797287,6.3756,6.3713,6.3808,6.366
2021-12-07,32.17683644592762,1.5853906087577339,-24.287423938512802,6.3657,6.3732,6.3746,6.3636
