date,positive,nagetive,neutral, ’≈Ã,ø™≈Ã,∏ﬂ,µÕ
2021-11-17,45.60889455676079,-5.266054672654718,-29.80153638124466,7.2187,7.2373,7.2415,7.1989
2021-11-18,28.646663144230843,9.597999023273587,-28.43316087126732,7.2592,7.2192,7.2642,7.213
2021-11-19,32.594133257865906,19.574233144521713,-36.980647176504135,7.2089,7.2616,7.2635,7.1888
2021-11-22,17.693523794412613,20.9191662222147,-26.272215336561203,7.172,7.2124,7.2144,7.1708
2021-11-23,18.82880836725235,15.620247858110815,-25.001313418149948,7.1873,7.1753,7.2049,7.1697
2021-11-24,15.773038677871227,20.544692292809486,-25.000659987330437,7.1561,7.1895,7.1937,7.1494
2021-11-25,19.473485611379147,13.79782136157155,-21.070483416318893,7.1562,7.1594,7.1748,7.1557
2021-11-26,29.738920897245407,9.208128780126572,-28.497405886650085,7.2343,7.1579,7.2442,7.1557
2021-11-29,-6.047027990221977,44.30381152033806,-23.6129390001297,7.2108,7.2257,7.2344,7.1871
2021-11-30,-0.17462047934532032,30.64552951604128,-19.45932909846306,7.2142,7.2138,7.2536,7.1506
2021-12-01,-6.395062804222107,49.35342017188668,-26.56370159983635,7.2071,7.2165,7.2336,7.1979
2021-12-02,22.24644209444523,18.981501311063766,-28.33894169330597,7.2046,7.2087,7.2372,7.2027
2021-12-03,0.7598487436771393,23.13611513376236,-14.729063421487808,7.2129,7.2067,7.2228,7.1834
2021-12-06,23.02317464351654,0.33891694247722626,-17.47963684797287,7.1949,7.2188,7.2188,7.1835
2021-12-07,32.17683644592762,1.5853906087577339,-24.287423938512802,7.1716,7.1969,7.1986,7.1492
2021-12-08,11.951315104961395,19.193864092230797,-17.785399198532104,7.1948,7.1736,7.2042,7.1512
2021-12-09,38.92580811679363,-6.306725710630418,-25.32140091061592,7.2011,7.1957,7.2182,7.1775
2021-12-10,18.37745800614357,18.145912351086736,-24.58735030889511,7.2034,7.2022,7.214,7.1735
2021-12-13,29.556898534297943,-2.5459105521440515,-18.438133865594864,7.1794,7.2087,7.2112,7.1627
2021-12-14,27.65100008994341,12.402768418192863,-26.92291358113289,7.1674,7.1849,7.2063,7.1654
2021-12-15,19.644274652004242,16.483026271685958,-24.840258479118347,7.1855,7.1692,7.195,7.1453
2021-12-16,22.72510588169098,21.621172339189798,-31.705559104681015,7.213,7.1865,7.2344,7.182
2021-12-17,21.45462329685688,5.980791583657265,-20.892629325389862,7.164,7.2156,7.2354,7.1629
2021-12-20,13.38077887892723,10.95314466767013,-16.796784937381744,7.1885,7.1677,7.2084,7.1625
2021-12-21,-1.5712050050497048,38.89927726984024,-23.83443158864975,7.1891,7.1899,7.2024,7.1743
2021-12-22,44.942366525530815,-9.527477372437716,-27.066636502742767,7.2128,7.187,7.2254,7.1762
2021-12-23,45.95662246644497,-12.046988748013973,-25.675982236862183,7.2155,7.2142,7.2279,7.1922
2021-12-24,31.787016347050667,-13.692867517471313,-13.44534769654274,7.2058,7.2175,7.2259,7.1974
2021-12-27,33.822247229516506,5.3980806060135365,-27.049301356077194,7.2152,7.2069,7.2237,7.2
2021-12-28,10.34915266931057,26.498871149495244,-24.03308293223381,7.202,7.2167,7.2217,7.188
2021-12-29,19.0416112691164,16.442288234829903,-23.61086767911911,7.2264,7.2033,7.2406,7.1778
2021-12-30,34.069104582071304,2.6304581910371785,-26.6399188041687,7.2111,7.2281,7.2348,7.1997
2021-12-31,22.028683573007584,2.8058133125305185,-19.872101545333862,7.2211,7.2156,7.2377,7.18
2022-01-03,22.271937869489193,-8.30108454823494,-11.160434901714325,7.1741,7.2241,7.2339,7.1694
2022-01-04,21.53500623255968,8.452513683587313,-19.64477464556694,7.1909,7.1811,7.216,7.1782
2022-01-05,38.813346832990646,-2.7313390374183655,-25.91443532705307,7.1996,7.1927,7.2231,7.186
2022-01-06,16.582328885793686,18.690881326794624,-25.371786177158356,7.2061,7.2007,7.2341,7.1921
